model,variant,score,outcome,rows,candidate_spearman,baseline_spearman,observed_delta_spearman,date_block_ci_low,date_block_ci_high,bootstrap_probability_candidate_not_better,issuer_block_ci_low,issuer_block_ci_high,issuer_bootstrap_probability_axis_not_better
qwen3_4b,prefixless,last_projection,abs_market_adjusted_return_h2,9271,0.09855054896875844,0.19193156285376603,-0.0933810138850076,-0.12078729957349774,-0.06675443563027646,1.0,-0.12049166679385423,-0.06585676079772548,1.0
qwen3_4b,prefixless,last_projection,parkinson_expansion_h1,9304,0.2024923619351218,0.2727238150986402,-0.07023145316351839,-0.10314776844830963,-0.04116638629701694,1.0,-0.09812138127229453,-0.04348252540809374,1.0
qwen3_4b,prefixless,last_projection,abnormal_volume_h1,9304,0.16613633354262447,0.2856694501412275,-0.11953311659860305,-0.15135800510731384,-0.09066350091281292,1.0,-0.14550823735667212,-0.09336611072472643,1.0
qwen3_4b,prefixless,mean_projection,abs_market_adjusted_return_h1,9335,0.04114185836856709,0.21166739782884153,-0.17052553946027443,-0.20152212147373647,-0.139958995188016,1.0,-0.19837351878206927,-0.14307435782150696,1.0
qwen3_4b,prefixless,mean_projection,abs_market_adjusted_return_h2,9271,0.019601474529757662,0.19193156285376603,-0.17233008832400837,-0.2025196091954661,-0.14471746784302222,1.0,-0.20045855252869516,-0.14272872280675553,1.0
qwen3_4b,prefixless,mean_projection,parkinson_expansion_h1,9304,0.23962433225229998,0.2727238150986402,-0.033099482846340206,-0.06187463902125999,-0.0037669312580471347,0.9865,-0.05870216338550911,-0.0068464600852451395,0.993
qwen3_4b,prefixless,mean_projection,abnormal_volume_h1,9304,0.13326939967874143,0.2856694501412275,-0.1524000504624861,-0.18349705672055258,-0.12314400998058123,1.0,-0.1801213987192029,-0.12329528798380741,1.0
qwen3_4b,company_prefix,last_projection,abs_market_adjusted_return_h1,9335,0.10364484485446618,0.21166739782884153,-0.10802255297437535,-0.1374686286718385,-0.07802579843999607,1.0,-0.1362703380435505,-0.0809481725441384,1.0
qwen3_4b,company_prefix,last_projection,abs_market_adjusted_return_h2,9271,0.08975167882410952,0.19193156285376603,-0.10217988402965651,-0.13083460388207774,-0.07306166181568936,1.0,-0.12885465254778306,-0.07553887040857502,1.0
qwen3_4b,company_prefix,last_projection,parkinson_expansion_h1,9304,0.2047624486719635,0.2727238150986402,-0.06796136642667669,-0.09902170140495666,-0.03921847088726425,1.0,-0.0963071809488735,-0.03918938209741954,1.0
qwen3_4b,company_prefix,last_projection,abnormal_volume_h1,9304,0.15979660844447158,0.2856694501412275,-0.12587284169675594,-0.15573795407606103,-0.09764014122358307,1.0,-0.15280701205122232,-0.09772650946790963,1.0
qwen3_4b,company_prefix,mean_projection,abs_market_adjusted_return_h1,9335,0.0722956933765715,0.21166739782884153,-0.13937170445227004,-0.17106513969170917,-0.11166143323402672,1.0,-0.16544525918011996,-0.11202491914962943,1.0
qwen3_4b,company_prefix,mean_projection,abs_market_adjusted_return_h2,9271,0.050818977872729175,0.19193156285376603,-0.14111258498103685,-0.17081526068994618,-0.11342257678903901,1.0,-0.16958937175379826,-0.1142369452123216,1.0
qwen3_4b,company_prefix,mean_projection,parkinson_expansion_h1,9304,0.27370326974601533,0.2727238150986402,0.0009794546473751442,-0.027757556520233633,0.029231500101227187,0.4625,-0.026427745587208288,0.026416401899940413,0.4695
qwen3_4b,company_prefix,mean_projection,abnormal_volume_h1,9304,0.17155424754824136,0.2856694501412275,-0.11411520259298616,-0.14493136736386167,-0.0859768005451685,1.0,-0.14128700047602413,-0.08552787403225336,1.0
