model,variant,score,outcome,primary,rows,event_dates,spearman,date_block_ci_low,date_block_ci_high,date_block_probability_nonpositive,date_block_p_one_sided,issuer_block_ci_low,issuer_block_ci_high,issuer_block_probability_nonpositive,issuer_block_p_one_sided,within_date_rank_correlation,within_date_permutation_p_one_sided,configuration_order,date_block_bh_q_all_64,issuer_block_bh_q_all_64,primary_model_bh_q_within_variant,primary_model_issuer_bh_q_within_variant
qwen25_7b,prefixless,mean_projection,parkinson_expansion_h1,False,9304,137,0.18480064854286493,0.1610347674987744,0.2089609528664689,0.0,0.0004997501249375312,0.1635628024561361,0.2067949363849836,0.0,0.0004997501249375312,0.16185035542038995,,10,0.0007615239999048095,0.0007438141394419069,,
qwen25_7b,prefixless,mean_projection,abnormal_volume_h1,False,9304,137,0.2307684987950027,0.20541782577474813,0.2583273631837848,0.0,0.0004997501249375312,0.20777389088746806,0.2528217795809302,0.0,0.0004997501249375312,0.21303077359053144,,11,0.0007615239999048095,0.0007438141394419069,,
qwen25_7b,prefixless,mean_cosine,abs_market_adjusted_return_h1,False,9335,137,0.18540706808862795,0.15723879035477026,0.21472174584811637,0.0,0.0004997501249375312,0.16335295651767887,0.2065216768182855,0.0,0.0004997501249375312,0.1709588704322279,,12,0.0007615239999048095,0.0007438141394419069,,
qwen25_7b,prefixless,mean_cosine,abs_market_adjusted_return_h2,False,9271,136,0.1783550450824287,0.15561735559766154,0.20191558272112003,0.0,0.0004997501249375312,0.15727326974848874,0.1994459710208924,0.0,0.0004997501249375312,0.17017189268384392,,13,0.0007615239999048095,0.0007438141394419069,,
qwen25_7b,prefixless,mean_cosine,parkinson_expansion_h1,False,9304,137,0.19350475029027167,0.1681590093805627,0.21910385095598403,0.0,0.0004997501249375312,0.17136444543985999,0.2152092021086518,0.0,0.0004997501249375312,0.16998400095095137,,14,0.0007615239999048095,0.0007438141394419069,,
qwen25_7b,prefixless,mean_cosine,abnormal_volume_h1,False,9304,137,0.24713798383990118,0.21923132755364702,0.2756857876526196,0.0,0.0004997501249375312,0.22534045919276477,0.26867744723009085,0.0,0.0004997501249375312,0.2286517431566642,,15,0.0007615239999048095,0.0007438141394419069,,
qwen25_7b,company_prefix,last_projection,abs_market_adjusted_return_h1,True,9335,137,-0.0004003224418247627,-0.02661207052038137,0.0265976548174974,0.5095,0.5097451274362819,-0.022503366921336018,0.020462529532713315,0.513,0.5132433783108445,-0.001935261635682674,0.5667166416791605,16,0.5825658599271792,0.5865638609266794,0.5097451274362819,0.5132433783108445
qwen25_7b,company_prefix,last_projection,abs_market_adjusted_return_h2,False,9271,136,0.008540561870730268,-0.015891820887451696,0.031262338299936826,0.2425,0.24287856071964017,-0.013065626698871152,0.030576000932804197,0.216,0.21639180409795103,0.00997993686076157,,17,0.3238380809595202,0.2885224054639347,,
qwen25_7b,company_prefix,last_projection,parkinson_expansion_h1,False,9304,137,0.020076892546406124,-0.006630670324631631,0.04497594661576786,0.067,0.06746626686656672,-0.0003445872768641367,0.04229046787582297,0.027,0.027486256871564217,0.010467900729649485,,18,0.09456141494470156,0.03909156532844689,,
qwen25_7b,company_prefix,last_projection,abnormal_volume_h1,False,9304,137,0.008464944405436827,-0.018915749328907484,0.03418573862269335,0.286,0.2863568215892054,-0.013887921429916334,0.029934816464594404,0.2355,0.23588205897051473,0.00036280433143267193,,19,0.3665367316341829,0.3080908525329172,,
qwen25_7b,company_prefix,last_cosine,abs_market_adjusted_return_h1,False,9335,137,-0.005157978574179315,-0.031079346177122442,0.019036827100668213,0.6495,0.6496751624187906,-0.026892127904974354,0.01625557999404489,0.688,0.6881559220389805,-0.004896079736204012,,20,0.6816263999147968,0.72199965590975,,
qwen25_7b,company_prefix,last_cosine,abs_market_adjusted_return_h2,False,9271,136,0.004471201126887589,-0.019806684015719243,0.026068073781309258,0.3555,0.35582208895552225,-0.017780299828462194,0.026033613455144433,0.353,0.35332333833083457,0.007260190725731783,,21,0.4296719564745929,0.426654597229687,,
qwen25_7b,company_prefix,last_cosine,parkinson_expansion_h1,False,9304,137,0.00987062732377509,-0.015495193640690984,0.03533400388112143,0.2315,0.2318840579710145,-0.012524808481892252,0.03205431248223285,0.19,0.1904047976011994,0.004864294279096627,,22,0.3157570151094665,0.2592746180101439,,
qwen25_7b,company_prefix,last_cosine,abnormal_volume_h1,False,9304,137,-0.0021440806567338006,-0.028323848705591025,0.024192235861301054,0.564,0.5642178910544727,-0.024513065639877932,0.020267553405769613,0.589,0.5892053973013494,-0.006797980996553141,,23,0.6225852590945906,0.6501576797807993,,
qwen25_7b,company_prefix,mean_projection,abs_market_adjusted_return_h1,False,9335,137,0.1868732591019667,0.15836706932539163,0.2144074339719843,0.0,0.0004997501249375312,0.1652447221828478,0.2076178348806932,0.0,0.0004997501249375312,0.1698218485567181,,24,0.0007615239999048095,0.0007438141394419069,,
qwen25_7b,company_prefix,mean_projection,abs_market_adjusted_return_h2,False,9271,136,0.17726147272884354,0.1557714667313538,0.200646050912462,0.0,0.0004997501249375312,0.15508240607256057,0.19861731622198825,0.0,0.0004997501249375312,0.16737676026739942,,25,0.0007615239999048095,0.0007438141394419069,,
qwen25_7b,company_prefix,mean_projection,parkinson_expansion_h1,False,9304,137,0.20841659049267083,0.18483281917703626,0.23183790007315688,0.0,0.0004997501249375312,0.18683087225796946,0.23096400487658694,0.0,0.0004997501249375312,0.179570581150584,,26,0.0007615239999048095,0.0007438141394419069,,
qwen25_7b,company_prefix,mean_projection,abnormal_volume_h1,False,9304,137,0.24798125143685942,0.22119510380665006,0.2764428510171277,0.0,0.0004997501249375312,0.22622553169289478,0.2705061432474854,0.0,0.0004997501249375312,0.22514055639269273,,27,0.0007615239999048095,0.0007438141394419069,,
qwen25_7b,company_prefix,mean_cosine,abs_market_adjusted_return_h1,False,9335,137,0.19948738511051833,0.1712591845143432,0.22868500892667035,0.0,0.0004997501249375312,0.17837405674680873,0.22110261827805658,0.0,0.0004997501249375312,0.18147259429098395,,28,0.0007615239999048095,0.0007438141394419069,,
